规模,windows_X86_ordinary,unroll优化,多路链路,windows_X86_optimization_2way,windows_X86_optimization_recursion,recur-unroll优化,recursion优化,windows_X86_optimization_circulation,cir-unroll优化,circulation优化,arm_ordinary,arm_optimization_2way,arm_optimization_recursion,arm_optimization_circulation,2ways,recursion,circulation,2ways,recursion,circulation
512,0.001814,0.000293,6.19112628,0.001022,0.003379,0.001553,2.175788796,0.00354,0.001134,3.121693122,0.00298221,0.001416,0.00203,0.00213151,177.4951076,53.68452205,51.24293785,210.6080508,146.9068966,139.9106737
1024,0.00378,0.000552,6.847826087,0.001674,0.003057,0.003029,1.009243975,0.00737,0.002172,3.393186004,0.00593642,0.00279591,0.00390991,0.00407881,225.8064516,123.6506379,51.2890095,212.3251464,151.8300933,145.5429402
2048,0.013315,0.001316,10.11778116,0.003444,0.024571,0.003434,7.15521258,0.0081,0.00445,1.820224719,0.0118447,0.00555252,0.00770452,0.00807832,386.6144019,54.18989866,164.382716,213.3211587,153.7370271,146.6233078
4096,0.033595,0.002109,15.9293504,0.006634,0.028671,0.00671,4.272876304,0.026589,0.008804,3.020104498,0.0236598,0.0110715,0.015793,0.016265,506.4063913,117.1741481,126.3492422,213.7000406,149.811942,145.4644943
8192,0.068306,0.004156,16.43551492,0.013418,0.12284,0.013479,9.113435715,0.052327,0.017325,3.02031746,0.0475719,0.0221068,0.0303737,0.0324993,509.0624534,55.60566591,130.5368166,215.1912534,156.6220118,146.3782297
16384,0.048028,0.008274,5.804689388,0.022759,0.201559,0.027083,7.442270059,0.10524,0.034322,3.06625488,0.0950057,0.0444172,0.0612249,0.0637116,211.0286041,23.82825872,45.63664006,213.893942,155.174937,149.1183709
32768,0.20076,0.016683,12.03380687,0.046602,0.465947,0.055241,8.434803859,0.33619,0.070001,4.802645676,0.189952,0.0885401,0.122498,0.128419,430.7969615,43.08644545,59.71623189,214.5378196,155.0653888,147.9158069
65536,0.425051,0.033036,12.86629737,0.097225,0.524749,0.10118,5.186291757,0.76821,0.201274,3.816737383,0.380012,0.177639,0.244943,0.264821,437.1828233,81.00082135,55.33005298,213.9237442,155.1430333,143.4976833
131072,0.596188,0.067883,8.782581795,0.294142,0.553424,0.185905,2.976918318,0.820366,0.632475,1.297072612,0.758639,0.35437,0.491035,0.555008,202.6871375,107.7271676,72.6734165,214.0810452,154.4979482,136.6897414
262144,1.40857,0.173736,8.107530967,0.399902,1.43098,0.373183,3.834526224,2.54411,0.975996,2.606680765,1.51868,0.723544,0.997105,1.15268,352.2287961,98.43394038,55.36592364,209.8946298,152.3089344,131.7520908
524288,3.284,0.475111,6.912068969,1.11677,3.53076,1.69544,2.082503657,4.91021,2.33212,2.105470559,3.03985,1.44095,2.00403,2.33772,294.0623405,93.01113641,66.88104989,210.9615184,151.686851,130.0348203
