规模,2路,4路,6路,8路,16路
512,0.000842,0.000759,0.000616,0.000404,0.000381
1024,0.001449,0.00088,0.001142,0.00076,0.001318
2048,0.002832,0.001731,0.002297,0.001521,0.002534
4096,0.005672,0.003431,0.002819,0.002991,0.0031
8192,0.011253,0.006854,0.006612,0.005955,0.005503
16384,0.022588,0.013847,0.01295,0.012145,0.011263
32768,0.050687,0.030385,0.025854,0.02464,0.022006
65536,0.090866,0.057435,0.067933,0.048433,0.043688
131072,0.181921,0.113601,0.102805,0.117572,0.09047
262144,0.375559,0.228307,0.220723,0.176761,0.155501
524288,0.78827,0.440214,0.368676,0.423343,0.318776
